model,dataset,fit_time-1:10,fit_time-2:10,fit_time-3:10,fit_time-4:10,fit_time-5:10,fit_time-6:10,fit_time-7:10,fit_time-8:10,fit_time-9:10,fit_time-10:10,score_time-1:10,score_time-2:10,score_time-3:10,score_time-4:10,score_time-5:10,score_time-6:10,score_time-7:10,score_time-8:10,score_time-9:10,score_time-10:10,test_accuracy-1:10,test_accuracy-2:10,test_accuracy-3:10,test_accuracy-4:10,test_accuracy-5:10,test_accuracy-6:10,test_accuracy-7:10,test_accuracy-8:10,test_accuracy-9:10,test_accuracy-10:10,train_accuracy-1:10,train_accuracy-2:10,train_accuracy-3:10,train_accuracy-4:10,train_accuracy-5:10,train_accuracy-6:10,train_accuracy-7:10,train_accuracy-8:10,train_accuracy-9:10,train_accuracy-10:10,test_hamming_loss-1:10,test_hamming_loss-2:10,test_hamming_loss-3:10,test_hamming_loss-4:10,test_hamming_loss-5:10,test_hamming_loss-6:10,test_hamming_loss-7:10,test_hamming_loss-8:10,test_hamming_loss-9:10,test_hamming_loss-10:10,train_hamming_loss-1:10,train_hamming_loss-2:10,train_hamming_loss-3:10,train_hamming_loss-4:10,train_hamming_loss-5:10,train_hamming_loss-6:10,train_hamming_loss-7:10,train_hamming_loss-8:10,train_hamming_loss-9:10,train_hamming_loss-10:10,test_f1-1:10,test_f1-2:10,test_f1-3:10,test_f1-4:10,test_f1-5:10,test_f1-6:10,test_f1-7:10,test_f1-8:10,test_f1-9:10,test_f1-10:10,train_f1-1:10,train_f1-2:10,train_f1-3:10,train_f1-4:10,train_f1-5:10,train_f1-6:10,train_f1-7:10,train_f1-8:10,train_f1-9:10,train_f1-10:10
baseline_binary_relevance_model_svc_123,scene,4.797579526901245,5.07881760597229,4.96228289604187,4.632052183151245,4.697419166564941,4.680716753005981,4.981480360031128,4.9132468700408936,4.704905986785889,5.032192230224609,0.3860373497009277,0.4116644859313965,0.3858792781829834,0.3610317707061767,0.3838393688201904,0.3750593662261963,0.3915309906005859,0.460094690322876,0.3679466247558594,0.3820047378540039,0.4149377593360996,0.7759336099585062,0.6970954356846473,0.2614107883817427,0.2448132780082987,0.4647302904564315,0.7302904564315352,0.725,0.3333333333333333,0.2625,0.7419205909510619,0.7146814404432132,0.7322253000923361,0.7192982456140351,0.7289935364727609,0.7331486611265005,0.7234533702677747,0.7272727272727273,0.7221965851407476,0.7318874019381634,-0.1313969571230982,-0.0463347164591977,-0.0656984785615491,-0.1659751037344398,-0.1666666666666666,-0.1161825726141078,-0.0560165975103734,-0.0555555555555555,-0.1423611111111111,-0.1611111111111111,-0.051708217913204,-0.0571714373653431,-0.054170514004309,-0.0550169282856263,-0.0524776854416743,-0.0528624192059095,-0.0557863958140966,-0.0551453622519612,-0.0552991847408091,-0.0529149361636671,0.3143940311679971,0.4585946573751451,0.3040125747268604,0.1829497577778693,0.1807955182072829,0.3961175149783962,0.36432350718065,0.3521298213327199,0.1907446487790171,0.2720530248313851,0.8337819488570939,0.8373962968506832,0.8430105832405251,0.7897805662210153,0.7984345249087467,0.8259386686864998,0.8437083684079086,0.8392879362109448,0.8013341093648046,0.8094835679759639
baseline_binary_relevance_model_svc_123,birds,0.4665200710296631,0.46612548828125,0.4613771438598633,0.4441146850585937,0.4666886329650879,0.4849143028259277,0.4743432998657226,0.4648518562316894,0.4519572257995605,0.4650664329528808,0.0417807102203369,0.0410282611846923,0.0410308837890625,0.0409955978393554,0.04205322265625,0.1161050796508789,0.0415148735046386,0.0391788482666015,0.039090871810913,0.0471515655517578,0.4615384615384615,0.3692307692307692,0.4923076923076923,0.3692307692307692,0.5230769230769231,0.59375,0.46875,0.46875,0.5,0.390625,0.4689655172413793,0.4793103448275862,0.4637931034482758,0.4793103448275862,0.4620689655172413,0.4561101549053356,0.4681583476764199,0.4681583476764199,0.4629948364888124,0.4750430292598967,-0.0453441295546558,-0.0696356275303643,-0.0518218623481781,-0.0607287449392712,-0.0534412955465587,-0.0419407894736842,-0.0476973684210526,-0.0518092105263157,-0.053453947368421,-0.0592105263157894,-0.052540834845735,-0.0499092558983666,-0.052087114337568,-0.0507259528130671,-0.0514519056261343,-0.0529033426940846,-0.0521786393695081,-0.0517256997916477,-0.0515445239605036,-0.0513633481293595,0.0210526315789473,0.0,0.0095693779904306,0.0,0.0175438596491228,0.0175438596491228,0.0161943319838056,0.0210526315789473,0.0225563909774436,0.0,0.0392339660590934,0.0397630410487231,0.0326940522375907,0.0414524836423559,0.0412476344650045,0.0552760728850476,0.0400297044615452,0.0390151865083578,0.0381326433820473,0.0302906388778964
baseline_binary_relevance_model_svc_456,scene,4.961245536804199,5.205260038375855,5.236533164978027,5.8467936515808105,6.082461833953857,5.505741119384766,5.298243761062622,5.297161817550659,4.987884044647217,4.861476898193359,0.3927614688873291,0.4206306934356689,0.6018238067626953,0.5645129680633545,0.6680002212524414,0.4480454921722412,0.4182977676391601,0.4177131652832031,0.3904075622558594,0.3785243034362793,0.4149377593360996,0.7759336099585062,0.6970954356846473,0.2614107883817427,0.2448132780082987,0.4647302904564315,0.7302904564315352,0.725,0.3333333333333333,0.2625,0.7419205909510619,0.7146814404432132,0.7322253000923361,0.7192982456140351,0.7289935364727609,0.7331486611265005,0.7234533702677747,0.7272727272727273,0.7221965851407476,0.7318874019381634,-0.1313969571230982,-0.0463347164591977,-0.0656984785615491,-0.1659751037344398,-0.1666666666666666,-0.1161825726141078,-0.0560165975103734,-0.0555555555555555,-0.1423611111111111,-0.1611111111111111,-0.051708217913204,-0.0571714373653431,-0.054170514004309,-0.0550169282856263,-0.0524776854416743,-0.0528624192059095,-0.0557863958140966,-0.0551453622519612,-0.0552991847408091,-0.0529149361636671,0.3143940311679971,0.4585946573751451,0.3040125747268604,0.1829497577778693,0.1807955182072829,0.3961175149783962,0.36432350718065,0.3521298213327199,0.1907446487790171,0.2720530248313851,0.8337819488570939,0.8373962968506832,0.8430105832405251,0.7897805662210153,0.7984345249087467,0.8259386686864998,0.8437083684079086,0.8392879362109448,0.8013341093648046,0.8094835679759639
baseline_binary_relevance_model_svc_456,birds,0.4651250839233398,0.4695401191711426,0.4606087207794189,0.4501066207885742,0.4778804779052734,0.4827771186828613,0.4685335159301758,0.4651660919189453,0.4571943283081054,0.4682679176330566,0.0425021648406982,0.0420875549316406,0.0405433177947998,0.040673017501831,0.0408506393432617,0.0420072078704834,0.0402843952178955,0.0402064323425293,0.0422074794769287,0.0408358573913574,0.4615384615384615,0.3692307692307692,0.4923076923076923,0.3692307692307692,0.5230769230769231,0.59375,0.46875,0.46875,0.5,0.390625,0.4689655172413793,0.4793103448275862,0.4637931034482758,0.4793103448275862,0.4620689655172413,0.4561101549053356,0.4681583476764199,0.4681583476764199,0.4629948364888124,0.4750430292598967,-0.0453441295546558,-0.0696356275303643,-0.0518218623481781,-0.0607287449392712,-0.0534412955465587,-0.0419407894736842,-0.0476973684210526,-0.0518092105263157,-0.053453947368421,-0.0592105263157894,-0.052540834845735,-0.0499092558983666,-0.052087114337568,-0.0507259528130671,-0.0514519056261343,-0.0529033426940846,-0.0521786393695081,-0.0517256997916477,-0.0515445239605036,-0.0513633481293595,0.0210526315789473,0.0,0.0095693779904306,0.0,0.0175438596491228,0.0175438596491228,0.0161943319838056,0.0210526315789473,0.0225563909774436,0.0,0.0392339660590934,0.0397630410487231,0.0326940522375907,0.0414524836423559,0.0412476344650045,0.0552760728850476,0.0400297044615452,0.0390151865083578,0.0381326433820473,0.0302906388778964
baseline_binary_relevance_model_rfc_123,scene,18.44149112701416,18.92617177963257,18.5251100063324,18.25973868370056,18.042032718658447,18.17908477783203,19.714598178863525,19.32327914237976,17.652842044830322,17.099819660186768,0.1352961063385009,0.1286439895629882,0.1280088424682617,0.1293249130249023,0.1290016174316406,0.1301515102386474,0.1362829208374023,0.1363382339477539,0.123859167098999,0.120584487915039,0.3236514522821577,0.7510373443983402,0.6846473029045643,0.3070539419087137,0.1576763485477178,0.4522821576763485,0.7136929460580913,0.6416666666666667,0.325,0.125,0.9990766389658357,0.9990766389658357,0.9995383194829178,0.9990766389658357,0.9990766389658357,0.9990766389658357,0.9990766389658357,0.9995385325334564,1.0,0.9990770650669129,-0.1410788381742738,-0.0504840940525587,-0.0615491009681881,-0.1507607192254495,-0.173582295988935,-0.115491009681881,-0.0546334716459197,-0.0694444444444444,-0.1375,-0.1763888888888889,-0.000153893505694,-0.000153893505694,-7.694675284702985e-05,-0.000153893505694,-0.000153893505694,-0.000153893505694,-0.000153893505694,-7.691124442393478e-05,-0.0,-0.0001538224888478,0.2875542546595178,0.3862788809938355,0.3090030789465817,0.2031103399524452,0.0846130126426148,0.3568507880394757,0.3591468533458545,0.3341618185735833,0.191448491053581,0.2116914346736508,0.9996447201466236,0.9996469322106148,0.9997217584863662,0.9995311148630678,0.9996389224480904,0.9996459794041338,0.9996446144309736,0.9998373983739838,1.0,0.9996338994702332
baseline_binary_relevance_model_rfc_123,birds,5.7317750453948975,5.472424983978272,5.583796739578247,5.536056756973267,5.528233289718628,7.199482202529907,6.171748399734497,6.095865488052368,5.569902420043945,5.932467460632324,0.2050008773803711,0.2024884223937988,0.2010805606842041,0.2066984176635742,0.2013859748840332,0.2170820236206054,0.2765264511108398,0.2025098800659179,0.2004213333129882,0.2719998359680176,0.5538461538461539,0.4769230769230769,0.5076923076923077,0.4307692307692308,0.5230769230769231,0.6875,0.515625,0.546875,0.515625,0.46875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0356275303643724,-0.0477732793522267,-0.0421052631578947,-0.0421052631578947,-0.0412955465587044,-0.0254934210526315,-0.0370065789473684,-0.0353618421052631,-0.0435855263157894,-0.0476973684210526,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.184701263648632,0.286371677857746,0.1451963241436925,0.2470021206863311,0.2039378749905065,0.2503759398496241,0.1617131062951496,0.2338651114966904,0.1812619784756007,0.2519831046146835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_binary_relevance_model_rfc_456,scene,22.56728792190552,18.56412601470948,17.61277484893799,17.53709077835083,17.308467626571655,17.333109378814697,18.77532935142517,21.352803707122803,20.833553314208984,18.784385204315186,0.1351096630096435,0.1194963455200195,0.1209087371826171,0.1222093105316162,0.120495319366455,0.1222074031829834,0.1330211162567138,0.1256804466247558,0.1317610740661621,0.1292498111724853,0.3195020746887966,0.7510373443983402,0.6929460580912863,0.2987551867219917,0.1618257261410788,0.4439834024896265,0.7178423236514523,0.6375,0.3458333333333333,0.1375,0.9990766389658357,0.9990766389658357,0.9995383194829178,0.9990766389658357,0.9990766389658357,0.9990766389658357,0.9990766389658357,0.9995385325334564,1.0,0.9990770650669129,-0.1383125864453665,-0.0477178423236514,-0.0615491009681881,-0.148686030428769,-0.173582295988935,-0.115491009681881,-0.0539419087136929,-0.0701388888888888,-0.1388888888888889,-0.1784722222222222,-0.000153893505694,-0.000153893505694,-7.694675284702985e-05,-0.000153893505694,-0.000153893505694,-0.000153893505694,-0.000153893505694,-7.691124442393478e-05,-0.0,-0.0001538224888478,0.3039772125066243,0.3953359274080037,0.3205859062982683,0.2051877661633759,0.0886691776522285,0.34009684473602,0.3836773305813554,0.3256655447324818,0.1973199907982516,0.2096211456236701,0.999645164617736,0.9996472299990296,0.9997217584863662,0.9995303633591204,0.9996393710538012,0.9996456664218476,0.9996447834581264,0.9998370804822416,1.0,0.9996338994702332
baseline_binary_relevance_model_rfc_456,birds,5.949566125869751,6.5732362270355225,5.958193302154541,6.296990156173706,6.094133138656616,6.245034217834473,7.543355703353882,8.104426383972168,6.097286224365234,5.659252405166626,0.226285696029663,0.252000093460083,0.221653938293457,0.2139966487884521,0.2150177955627441,0.211177110671997,0.2081272602081298,0.2190389633178711,0.2019762992858886,0.2371788024902343,0.5384615384615384,0.4615384615384615,0.5384615384615384,0.4153846153846154,0.5384615384615384,0.703125,0.515625,0.546875,0.5625,0.484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0380566801619433,-0.0477732793522267,-0.0396761133603238,-0.0461538461538461,-0.0412955465587044,-0.0254934210526315,-0.0361842105263157,-0.0361842105263157,-0.0394736842105263,-0.046875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1566310882100355,0.3053020683501058,0.1537176274018379,0.2203007518796992,0.2153413837624364,0.202046783625731,0.1822644847412649,0.1968008255933952,0.235045948203843,0.2595141700404858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_binary_relevance_model_knn,scene,0.024935245513916,0.0219557285308837,0.0229697227478027,0.021815538406372,0.0230438709259033,0.0220148563385009,0.0224251747131347,0.0220096111297607,0.0220394134521484,0.0270006656646728,2.7551491260528564,2.4025087356567383,2.213697671890259,2.116599798202514,2.1717865467071533,2.10593318939209,2.12127423286438,2.4503049850463867,2.1098787784576416,2.7391791343688965,0.2904564315352697,0.6639004149377593,0.6970954356846473,0.4232365145228215,0.5435684647302904,0.3692946058091286,0.5684647302904564,0.7208333333333333,0.4458333333333333,0.6291666666666667,0.7460757156048015,0.7308402585410896,0.7322253000923361,0.7368421052631579,0.7451523545706371,0.7419205909510619,0.7253000923361034,0.7221965851407476,0.7397323488694048,0.7438855560682972,-0.2102351313969571,-0.0961272475795297,-0.0691562932226832,-0.1562932226832641,-0.1189488243430152,-0.1687413554633471,-0.1203319502074688,-0.0611111111111111,-0.1465277777777777,-0.10625,-0.0637119113573407,-0.0657125269313635,-0.0667897814712219,-0.0650200061557402,-0.0609418282548476,-0.0648661126500461,-0.0686365035395506,-0.0696815874480849,-0.065989847715736,-0.0614520842947238,0.2203739822787442,0.330649578267061,0.3155409748002341,0.22002442002442,0.2197628458498023,0.3034455538487797,0.2888045438014098,0.3273201362281822,0.2251093935304461,0.2933112377625248,0.8018881896898673,0.8108908846365095,0.8143290699945013,0.7939668584690419,0.8111320464357911,0.7945493599036949,0.7944458534225679,0.8020876909189862,0.7973252185459878,0.8120985820379653
baseline_binary_relevance_model_knn,birds,0.0370008945465087,0.0320007801055908,0.0360002517700195,0.0243885517120361,0.0212378501892089,0.0220067501068115,0.0212206840515136,0.0223314762115478,0.0202095508575439,0.0211131572723388,0.4619991779327392,0.4260954856872558,0.4640071392059326,0.3844807147979736,0.4593119621276855,0.3609671592712402,0.3551409244537353,0.3604884147644043,0.3540654182434082,0.3541805744171142,0.4769230769230769,0.3692307692307692,0.4923076923076923,0.3692307692307692,0.5384615384615384,0.59375,0.453125,0.4375,0.5,0.375,0.4982758620689655,0.5103448275862069,0.493103448275862,0.503448275862069,0.4879310344827586,0.4888123924268502,0.4991394148020654,0.4991394148020654,0.4905335628227194,0.5129087779690189,-0.0518218623481781,-0.0728744939271255,-0.0550607287449392,-0.0631578947368421,-0.0534412955465587,-0.037828947368421,-0.053453947368421,-0.0657894736842105,-0.0567434210526315,-0.0674342105263157,-0.0496370235934664,-0.0478221415607985,-0.0490018148820326,-0.049092558983666,-0.05,-0.0504574689736389,-0.0495515898179182,-0.0486457106621976,-0.0499139414802065,-0.0481927710843373,0.0570175438596491,0.0397045244690674,0.0456140350877193,0.0508771929824561,0.097953216374269,0.0891812865497076,0.0526315789473684,0.0337381916329284,0.0494505494505494,0.0204678362573099,0.141198257097792,0.1359326797080388,0.1437824672406222,0.1393644110255949,0.1138691790437218,0.1587360374153705,0.1296446308865183,0.1383478145734026,0.1247143917372484,0.1489105068720451
baseline_binary_relevance_model,birds,0.0319905281066894,0.0199983119964599,0.0320003032684326,0.0189990997314453,0.0239689350128173,0.0219638347625732,0.0231120586395263,0.0231592655181884,0.0207006931304931,0.0187058448791503,0.3781774044036865,0.5709993839263916,0.493997573852539,0.4184539318084717,0.3453974723815918,0.3382699489593506,0.3343565464019775,0.3422563076019287,0.4511313438415527,0.3594412803649902,0.4769230769230769,0.3692307692307692,0.4923076923076923,0.3692307692307692,0.5384615384615384,0.59375,0.453125,0.4375,0.5,0.375,0.4982758620689655,0.5103448275862069,0.493103448275862,0.503448275862069,0.4879310344827586,0.4888123924268502,0.4991394148020654,0.4991394148020654,0.4905335628227194,0.5129087779690189,-0.0518218623481781,-0.0728744939271255,-0.0550607287449392,-0.0631578947368421,-0.0534412955465587,-0.037828947368421,-0.053453947368421,-0.0657894736842105,-0.0567434210526315,-0.0674342105263157,-0.0496370235934664,-0.0478221415607985,-0.0490018148820326,-0.049092558983666,-0.05,-0.0504574689736389,-0.0495515898179182,-0.0486457106621976,-0.0499139414802065,-0.0481927710843373,0.0570175438596491,0.0397045244690674,0.0456140350877193,0.0508771929824561,0.097953216374269,0.0891812865497076,0.0526315789473684,0.0337381916329284,0.0494505494505494,0.0204678362573099,0.141198257097792,0.1359326797080388,0.1437824672406222,0.1393644110255949,0.1138691790437218,0.1587360374153705,0.1296446308865183,0.1383478145734026,0.1247143917372484,0.1489105068720451
baseline_binary_relevance_model,emotions,0.0090000629425048,0.0070006847381591,0.00700044631958,0.0079989433288574,0.0059988498687744,0.0070018768310546,0.0089974403381347,0.0130019187927246,0.0060005187988281,0.0149989128112792,0.0979981422424316,0.0789976119995117,0.1049995422363281,0.1089999675750732,0.1059997081756591,0.1239993572235107,0.0849990844726562,0.0919983386993408,0.0739970207214355,0.0679993629455566,0.2,0.2,0.1833333333333333,0.2203389830508474,0.1694915254237288,0.2033898305084746,0.1016949152542373,0.1525423728813559,0.2033898305084746,0.1525423728813559,0.3677298311444653,0.3358348968105065,0.3433395872420263,0.3614232209737827,0.3576779026217228,0.352059925093633,0.3352059925093633,0.3595505617977528,0.350187265917603,0.3389513108614232,-0.2583333333333333,-0.2638888888888889,-0.2611111111111111,-0.2655367231638418,-0.2740112994350282,-0.2627118644067797,-0.2966101694915254,-0.3022598870056497,-0.2655367231638418,-0.2796610169491525,-0.1779237023139462,-0.181676047529706,-0.1838649155722326,-0.1813358302122347,-0.181023720349563,-0.1869538077403246,-0.1863295880149812,-0.1794631710362047,-0.1875780274656679,-0.1860174781523096,0.4790522185885848,0.4640244172577292,0.4423419957033402,0.4479435124596414,0.4819192492506696,0.4950425580860363,0.50230985738321,0.4205792362235193,0.4966664952694364,0.5041991317599838,0.6668739460951838,0.6613847342483342,0.6622629977986586,0.6659862196626354,0.6638486311000491,0.657470496284765,0.6348005749169988,0.6615504203139921,0.6483003986772787,0.6474812721668509
baseline_binary_relevance_model,scene,0.048997163772583,0.0429997444152832,0.043997049331665,0.0429973602294921,0.0419971942901611,0.0319993495941162,0.0369982719421386,0.0439982414245605,0.0479998588562011,0.0369997024536132,3.449002265930176,3.4570000171661377,3.4119997024536133,3.436001300811768,2.4979989528656006,2.468001365661621,2.490999698638916,2.4899990558624268,2.364023447036743,2.228999614715576,0.2904564315352697,0.6639004149377593,0.6970954356846473,0.4232365145228215,0.5435684647302904,0.3692946058091286,0.5684647302904564,0.7208333333333333,0.4458333333333333,0.6291666666666667,0.7460757156048015,0.7308402585410896,0.7322253000923361,0.7368421052631579,0.7451523545706371,0.7419205909510619,0.7253000923361034,0.7221965851407476,0.7397323488694048,0.7438855560682972,-0.2102351313969571,-0.0961272475795297,-0.0691562932226832,-0.1562932226832641,-0.1189488243430152,-0.1687413554633471,-0.1203319502074688,-0.0611111111111111,-0.1465277777777777,-0.10625,-0.0637119113573407,-0.0657125269313635,-0.0667897814712219,-0.0650200061557402,-0.0609418282548476,-0.0648661126500461,-0.0686365035395506,-0.0696815874480849,-0.065989847715736,-0.0614520842947238,0.2203739822787442,0.330649578267061,0.3155409748002341,0.22002442002442,0.2197628458498023,0.3034455538487797,0.2888045438014098,0.3273201362281822,0.2251093935304461,0.2933112377625248,0.8018881896898673,0.8108908846365095,0.8143290699945013,0.7939668584690419,0.8111320464357911,0.7945493599036949,0.7944458534225679,0.8020876909189862,0.7973252185459878,0.8120985820379653
